City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,mancio lima,-7.6142,-72.8958,86.07,79,75,3.44,BR,1682869088
330,richards bay,-28.783,32.0377,67.84,86,71,6.29,ZA,1682869089
331,as sulayyil,20.4607,45.5779,95.25,19,41,2.19,SA,1682869090
332,colinas,-6.0258,-44.2492,85.84,67,89,4.68,BR,1682869059
333,novyye burasy,52.1324,46.0714,69.44,54,95,6.96,RU,1682869092
334,tara,56.8944,74.371,31.32,68,51,4.79,RU,1682869094
335,voss,60.623,6.4229,42.53,82,99,5.12,NO,1682869095
336,saddiqabad,28.3062,70.1307,77.0,58,100,5.88,PK,1682869096
337,jiangyou,31.7667,104.7167,65.34,50,98,0.72,CN,1682869097
338,lerwick,60.1545,-1.1494,42.8,96,100,17.96,GB,1682869098
339,keren,15.7778,38.4581,76.17,48,60,5.57,ER,1682869099
340,mutuali,-14.8706,37.0044,66.87,73,54,4.79,MZ,1682869101
341,vilyuchinsk,52.9306,158.4028,30.47,83,85,3.87,RU,1682869102
342,alice springs,-23.7,133.8833,49.55,66,81,6.29,AU,1682869103
343,tamanrasset,22.785,5.5228,89.51,6,40,18.41,DZ,1682869104
344,lihue,21.9789,-159.3672,72.99,81,100,12.66,US,1682869105
345,talcahuano,-36.7167,-73.1167,56.88,72,75,8.05,CL,1682869106
346,changzhou,31.7833,119.9667,60.84,56,0,6.91,CN,1682869108
347,trairi,-3.2778,-39.2689,84.79,73,60,10.02,BR,1682868934
348,barra de santo antonio,-9.4047,-35.5072,78.08,78,26,8.14,BR,1682869110
349,gaspe,48.8334,-64.4819,53.82,50,75,10.36,CA,1682868950
350,fredericton,45.9454,-66.6656,57.83,49,75,10.36,CA,1682869112
351,nova vicosa,-17.8919,-39.3719,80.87,69,42,7.0,BR,1682869113
352,bonthe,7.5264,-12.505,87.51,63,6,14.63,SL,1682869115
353,conception bay south,47.4999,-52.9981,41.56,81,100,22.26,CA,1682869116
354,shimoda,34.6667,138.95,60.1,66,100,5.28,JP,1682869117
355,natal,-5.795,-35.2094,80.82,94,75,9.22,BR,1682869118
356,bundaberg,-24.85,152.35,62.22,78,2,3.0,AU,1682869119
357,papao,-17.75,-149.55,76.68,78,29,14.72,PF,1682869121
358,dunedin,-45.8742,170.5036,52.3,76,100,3.4,NZ,1682869078
359,jaisalmer,26.9147,70.9181,74.52,63,84,6.55,IN,1682869123
360,raja,8.4596,25.678,75.51,65,100,6.82,SS,1682869124
361,howard springs,-12.497,131.047,78.71,95,70,6.58,AU,1682869125
362,sinabang,2.4803,96.3801,81.39,81,99,1.86,ID,1682869126
